iso_code,country,2020_population,rank
CHN,China,1439323776,1
IND,India,1380004385,2
USA,United States,331002651,3
IDN,Indonesia,273523615,4
PAK,Pakistan,220892340,5
BRA,Brazil,212559417,6
NGA,Nigeria,206139589,7
BGD,Bangladesh,164689383,8
RUS,Russia,145934462,9
MEX,Mexico,128932753,10
JPN,Japan,126476461,11
ETH,Ethiopia,114963588,12
PHL,Philippines,109581078,13
EGY,Egypt,102334404,14
VNM,Vietnam,97338579,15
COD,Dr Congo,89561403,16
TUR,Turkey,84339067,17
IRN,Iran,83992949,18
DEU,Germany,83783942,19
THA,Thailand,69799978,20
GBR,United Kingdom,67886011,21
FRA,France,65273511,22
TZA,Tanzania,59734218,23
ITA,Italy,60461826,24
ZAF,South Africa,59308690,25
KEN,Kenya,53771296,26
MMR,Myanmar,54409800,27
KOR,South Korea,51269185,28
COL,Colombia,50882891,29
UGA,Uganda,45741007,30
ESP,Spain,46754778,31
ARG,Argentina,45195774,32
SDN,Sudan,43849260,33
DZA,Algeria,43851044,34
UKR,Ukraine,43733762,35
IRQ,Iraq,40222493,36
AFG,Afghanistan,38928346,37
CAN,Canada,37742154,38
POL,Poland,37846611,39
MAR,Morocco,36910560,40
SAU,Saudi Arabia,34813871,41
UZB,Uzbekistan,33469203,42
AGO,Angola,32866272,43
PER,Peru,32971854,44
MYS,Malaysia,32365999,45
MOZ,Mozambique,31255435,46
GHA,Ghana,31072940,47
YEM,Yemen,29825964,48
NPL,Nepal,29136808,49
VEN,Venezuela,28435940,50
MDG,Madagascar,27691018,51
CMR,Cameroon,26545863,52
CIV,Ivory Coast,26378274,53
PRK,North Korea,25778816,54
AUS,Australia,25499884,55
NER,Niger,24206644,56
TWN,Taiwan,23816775,57
LKA,Sri Lanka,21413249,58
BFA,Burkina Faso,20903273,59
MLI,Mali,20250833,60
MWI,Malawi,19129952,61
CHL,Chile,19116201,62
ROU,Romania,19237691,63
KAZ,Kazakhstan,18776707,64
ZMB,Zambia,18383955,65
SYR,Syria,17500658,66
GTM,Guatemala,17915568,67
ECU,Ecuador,17643054,68
SEN,Senegal,16743927,69
NLD,Netherlands,17134872,70
KHM,Cambodia,16718965,71
TCD,Chad,16425864,72
SOM,Somalia,15893222,73
ZWE,Zimbabwe,14862924,74
GIN,Guinea,13132795,75
RWA,Rwanda,12952218,76
BEN,Benin,12123200,77
BDI,Burundi,11890784,78
TUN,Tunisia,11818619,79
BOL,Bolivia,11673021,80
BEL,Belgium,11589623,81
HTI,Haiti,11402528,82
SSD,South Sudan,11193725,83
CUB,Cuba,11326616,84
DOM,Dominican Republic,10847910,85
CZE,Czech Republic,10708981,86
GRC,Greece,10423054,87
JOR,Jordan,10203134,88
AZE,Azerbaijan,10139177,89
PRT,Portugal,10196709,90
SWE,Sweden,10099265,91
HND,Honduras,9904607,92
ARE,United Arab Emirates,9890402,93
TJK,Tajikistan,9537645,94
HUN,Hungary,9660351,95
BLR,Belarus,9449323,96
PNG,Papua New Guinea,8947024,97
AUT,Austria,9006398,98
ISR,Israel,8655535,99
CHE,Switzerland,8654622,100
SRB,Serbia,8737371,101
TGO,Togo,8278724,102
SLE,Sierra Leone,7976983,103
HKG,Hong Kong,7496981,104
LAO,Laos,7275560,105
PRY,Paraguay,7132538,106
LBY,Libya,6871292,107
BGR,Bulgaria,6948445,108
LBN,Lebanon,6825445,109
NIC,Nicaragua,6624554,110
KGZ,Kyrgyzstan,6524195,111
SLV,El Salvador,6486205,112
TKM,Turkmenistan,6031200,113
SGP,Singapore,5850342,114
DNK,Denmark,5792202,115
COG,Republic Of The Congo,5518087,116
FIN,Finland,5540720,117
NOR,Norway,5421241,118
SVK,Slovakia,5459642,119
OMN,Oman,5106626,120
PSE,Palestine,5101414,121
LBR,Liberia,5057681,122
CRI,Costa Rica,5094118,123
IRL,Ireland,4937786,124
CAF,Central African Republic,4829767,125
NZL,New Zealand,4822233,126
MRT,Mauritania,4649658,127
PAN,Panama,4314767,128
KWT,Kuwait,4270571,129
HRV,Croatia,4105267,130
MDA,Moldova,4033963,131
GEO,Georgia,3989167,132
ERI,Eritrea,3546421,133
URY,Uruguay,3473730,134
MNG,Mongolia,3278290,135
BIH,Bosnia And Herzegovina,3280819,136
JAM,Jamaica,2961167,137
ARM,Armenia,2963243,138
QAT,Qatar,2881053,139
ALB,Albania,2877797,140
PRI,Puerto Rico,2860853,141
LTU,Lithuania,2722289,142
NAM,Namibia,2540905,143
GMB,Gambia,2416668,144
BWA,Botswana,2351627,145
GAB,Gabon,2225734,146
LSO,Lesotho,2142249,147
MKD,North Macedonia,2083374,148
SVN,Slovenia,2078938,149
GNB,Guinea Bissau,1968001,150
LVA,Latvia,1886198,151
BHR,Bahrain,1701575,152
GNQ,Equatorial Guinea,1402985,153
TTO,Trinidad And Tobago,1399488,154
TLS,Timor Leste,1318445,155
EST,Estonia,1326535,156
MUS,Mauritius,1271768,157
